timestamp,hour,day_of_week,is_weekend,electricity_usage,is_event,day_type
2024-01-01 00:00:00,0,0,0,5.009837314506832,0,Weekday
2024-01-01 01:00:00,1,0,0,4.992505522437283,0,Weekday
2024-01-01 02:00:00,2,0,0,5.1210570821144366,0,Weekday
2024-01-01 03:00:00,3,0,0,4.8818925079149755,0,Weekday
2024-01-01 04:00:00,4,0,0,4.701207231741155,0,Weekday
2024-01-01 05:00:00,5,0,0,5.415112150354435,0,Weekday
2024-01-01 06:00:00,6,0,0,4.789570123274467,0,Weekday
2024-01-01 07:00:00,7,0,0,14.183533911273638,0,Weekday
2024-01-01 08:00:00,8,0,0,16.161468590572827,0,Weekday
2024-01-01 09:00:00,9,0,0,15.318403680747336,0,Weekday
2024-01-01 10:00:00,10,0,0,15.909170981740534,0,Weekday
2024-01-01 11:00:00,11,0,0,13.959376826891425,0,Weekday
2024-01-01 12:00:00,12,0,0,11.669931129486994,0,Weekday
2024-01-01 13:00:00,13,0,0,15.151224653448434,0,Weekday
2024-01-01 14:00:00,14,0,0,14.955478639593228,0,Weekday
2024-01-01 15:00:00,15,0,0,13.559474233897191,0,Weekday
2024-01-01 16:00:00,16,0,0,14.812650363703433,0,Weekday
2024-01-01 17:00:00,17,0,0,34.537615693126355,0,Weekday
2024-01-01 18:00:00,18,0,0,47.41073376444285,0,Weekday
2024-01-01 19:00:00,19,0,0,43.08133082027862,0,Weekday
2024-01-01 20:00:00,20,0,0,35.726184730661316,0,Weekday
2024-01-01 21:00:00,21,0,0,43.74830758024022,0,Weekday
2024-01-01 22:00:00,22,0,0,38.26566575079891,0,Weekday
2024-01-01 23:00:00,23,0,0,10.880898261614897,0,Weekday
2024-01-02 00:00:00,0,1,0,5.310484639771873,0,Weekday
2024-01-02 01:00:00,1,1,0,4.728775462487878,0,Weekday
2024-01-02 02:00:00,2,1,0,4.673794649048704,0,Weekday
2024-01-02 03:00:00,3,1,0,5.006481254988842,0,Weekday
2024-01-02 04:00:00,4,1,0,5.301640324879036,0,Weekday
2024-01-02 05:00:00,5,1,0,5.088471464021162,0,Weekday
2024-01-02 06:00:00,6,1,0,4.836443633484236,0,Weekday
2024-01-02 07:00:00,7,1,0,11.851736554672442,0,Weekday
2024-01-02 08:00:00,8,1,0,13.353081478576698,0,Weekday
2024-01-02 09:00:00,9,1,0,16.04624733255326,0,Weekday
2024-01-02 10:00:00,10,1,0,10.730415564375257,0,Weekday
2024-01-02 11:00:00,11,1,0,15.268871813264974,0,Weekday
2024-01-02 12:00:00,12,1,0,15.228298796940049,0,Weekday
